VehicleID,Type,Capacity,Load,Utilization,Distance(km),Stops,Route
0,Gas Car,130,126.0,96.9%,38.53,10,24 -> 19 -> 11 -> 20 -> 6 -> 18 -> 1 -> 2 -> 22 -> 13 -> 24
1,Gas Car,140,137.0,97.9%,51.27,10,24 -> 10 -> 23 -> 15 -> 9 -> 0 -> 3 -> 14 -> 21 -> 12 -> 24
2,Gas Car,120,114.0,95.0%,34.75,7,24 -> 7 -> 4 -> 8 -> 16 -> 17 -> 5 -> 24
3,Gas Car,100,0.0,0.0%,0.0,1,24 -> 24
4,Gas Car,70,0.0,0.0%,0.0,1,24 -> 24
5,Gas Car,55,0.0,0.0%,0.0,1,24 -> 24
6,Gas Car,110,0.0,0.0%,0.0,1,24 -> 24
7,Gas Car,114,0.0,0.0%,0.0,1,24 -> 24
