case_name,ga_fitness,ga_time,ga_memory_mb,pyomo_fitness,pyomo_time,comparison
Caso1,230.98860000000002,238.45810770988464,0.14186,150.91000000000003,113.17999999999999,"{'distance': (230.98860000000002, 150.91000000000003), 'gap_percent': 53.06381286859716, 'execution_time': (238.45810770988464, 113.17999999999999), 'memory_usage_mb': (0.14186, None), 'num_vehicles': (3, 8)}"
Caso2,6722.849700000001,46.641602993011475,0.099036,801.62,601.2099999999999,"{'distance': (6722.849700000001, 801.62), 'gap_percent': 738.6579301913625, 'execution_time': (46.641602993011475, 601.2099999999999), 'memory_usage_mb': (0.099036, None), 'num_vehicles': (3, 5)}"
Caso3,5754.6079,42.114004611968994,0.094268,801.62,601.2099999999999,"{'distance': (5754.6079, 801.62), 'gap_percent': 617.8722961003966, 'execution_time': (42.114004611968994, 601.2099999999999), 'memory_usage_mb': (0.094268, None), 'num_vehicles': (3, 5)}"
