VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V0,D1,130,D1-C22-C14-C0-C10-C8-C3-D1,6,15-17-13-17-20-15,16.48,12.36,0
V1,D1,136,D1-C19-C7-C18-C4-C21-C20-D1-C6-C12,8,15-20-11-20-18-14-17-21,27.77,20.83,0
V2,D1,15,D1-C1-D1,1,15,21.22,15.91,0
V3,D1,12,D1-C2-D1,1,12,12.74,9.56,0
V4,D1,37,D1-C17-C15-C9-D1,3,12-10-15,24.93,18.70,0
V5,D1,55,D1-C11-D1-C23-C16,3,12-11-25,20.39,15.29,0
V6,D1,17,D1-C5-D1,1,17,19.37,14.53,0
V7,D1,15,D1-C13-D1,1,15,8.01,6.00,0
